Player,dk_line,dk_over_odds,dk_under_odds
bijan robinson,1200.5,-110,-110
josh jacobs,1050.5,-110,-110
jahmyr gibbs,1075.5,-110,-110
kyler murray,475.5,-110,-110
james cook,950.5,-110,-110
kyren williams,1000.5,-110,-110
jonathan taylor,1200.5,-120,100
derrick henry,1375.5,-110,-110
bucky irving,1025.5,-115,-105
omarion hampton,825.5,-110,-110
ashton jeanty,1050.5,-110,-110
jayden daniels,675.5,-110,-110
josh allen,500.5,-115,-105
lamar jackson,750.5,-110,-110
jalen hurts,600.5,-110,-110
saquon barkley,1450.5,-110,-110
drake maye,475.5,-110,-110
caleb williams,425.5,-110,-110
justin fields,650.5,-110,-110
treveyon henderson,700.5,-110,-110
devon achane,900.5,-105,-115
tyler allgeier,550.5,-110,-110
javonte williams,550.5,-105,-115
kaleb johnson,800.5,-110,-110
aaron jones,775.5,-110,-110
david montgomery,725.5,-110,-110
alvin kamara,750.5,-110,-110
zach charbonnet,475.5,-110,-110
najee harris,525.5,-110,-110
jaylen warren,575.5,-110,-110
rhamondre stevenson,625.5,-110,-110
chuba hubbard,950.5,-110,-110
breece hall,900.5,-105,-115
christian mccaffrey,950.5,-110,-110
james conner,900.5,-110,-110
kenneth walker,875.5,-110,-110
tony pollard,900.5,100,-120
rj harvey,700.5,-120,100
brian robinson,750.5,-105,-115
chase brown,875.5,-110,-110
